DNS lookup Time,Period1, Period2,Period3, SSL Handshake Start,Send Client Hello,Receive Certificate,SSL Handshake Finish
1.000000,0.328382,1330.613904,0.802063,0.000000,0.000000,0.000000,0.000000
1.000000,0.362120,1255.513001,0.960033,0.000000,0.000000,0.000000,0.000000
0.000000,0.322966,1267.203926,1.072133,0.000000,0.000000,0.000000,0.000000
1.000000,0.449315,1260.034895,1.114989,0.000000,0.000000,0.000000,0.000000
1.000000,0.344620,737.117710,1.043042,0.000000,0.000000,0.000000,0.000000
1.000000,0.332878,1227.669752,0.331607,0.000000,0.000000,0.000000,0.000000
1.000000,0.473897,729.270129,1.041848,0.000000,0.000000,0.000000,0.000000
1.000000,0.495926,1226.923572,1.117735,0.000000,0.000000,0.000000,0.000000
1.000000,0.373168,751.310192,1.209918,0.000000,0.000000,0.000000,0.000000
1.000000,0.358680,1272.815093,0.816377,0.000000,0.000000,0.000000,0.000000
1.000000,0.316949,1271.141205,1.117174,0.000000,0.000000,0.000000,0.000000
1.000000,0.332582,1748.592915,1.095464,0.000000,0.000000,0.000000,0.000000
1.000000,0.366842,1043.712488,0.822943,0.000000,0.000000,0.000000,0.000000
1.000000,0.326687,1262.258236,0.993394,0.000000,0.000000,0.000000,0.000000
1.000000,0.386335,1261.376458,1.114933,0.000000,0.000000,0.000000,0.000000
1.000000,0.342131,2465.247702,1.180019,0.000000,0.000000,0.000000,0.000000
1.000000,0.301734,1285.508372,0.965461,0.000000,0.000000,0.000000,0.000000
1.000000,0.337328,693.711359,1.069465,0.000000,0.000000,0.000000,0.000000
1.000000,0.318781,1087.459080,1.162687,0.000000,0.000000,0.000000,0.000000
1.000000,0.329505,1081.826115,1.102779,0.000000,0.000000,0.000000,0.000000
1.000000,0.386797,521.036444,0.316078,0.000000,0.000000,0.000000,0.000000
1.000000,0.333458,1289.982480,1.028738,0.000000,0.000000,0.000000,0.000000
1.000000,0.446827,2462.488111,1.163187,0.000000,0.000000,0.000000,0.000000
1.000000,0.398943,1237.687989,1.064474,0.000000,0.000000,0.000000,0.000000
1.000000,0.308219,1269.201718,0.950749,0.000000,0.000000,0.000000,0.000000
1.000000,0.358151,1438.819760,1.079397,0.000000,0.000000,0.000000,0.000000
1.000000,0.324503,1221.618166,0.320745,0.000000,0.000000,0.000000,0.000000
1.000000,0.334331,529.038667,1.060707,0.000000,0.000000,0.000000,0.000000
1.000000,0.428151,1238.668916,1.080018,0.000000,0.000000,0.000000,0.000000
1.000000,0.893293,1264.403464,1.046779,0.000000,0.000000,0.000000,0.000000
1.000000,0.358031,752.086415,0.951256,0.000000,0.000000,0.000000,0.000000
0.000000,0.352763,1096.841353,0.916419,0.000000,0.000000,0.000000,0.000000
