DNS lookup Time,Period1, Period2,Period3, SSL Handshake Start,Send Client Hello,Receive Certificate,SSL Handshake Finish
4.000000,0.341887,179.678518,0.921286,0.000000,0.000000,0.000000,0.000000
3.000000,0.330312,398.831376,0.900497,0.000000,0.000000,0.000000,0.000000
3.000000,0.564635,177.876662,0.314079,0.000000,0.000000,0.000000,0.000000
3.000000,0.707862,176.956224,0.990911,0.000000,0.000000,0.000000,0.000000
4.000000,0.709600,176.963657,0.674232,0.000000,0.000000,0.000000,0.000000
3053.000000,0.441241,178.261001,1.016871,0.000000,0.000000,0.000000,0.000000
3044.000000,0.309848,178.587041,0.983799,0.000000,0.000000,0.000000,0.000000
3.000000,0.752904,175.783022,1.044733,0.000000,0.000000,0.000000,0.000000
3.000000,0.348741,176.428389,0.878668,0.000000,0.000000,0.000000,0.000000
3.000000,0.443382,908.798412,0.322038,0.000000,0.000000,0.000000,0.000000
2.000000,0.337519,175.254616,0.935336,0.000000,0.000000,0.000000,0.000000
3.000000,0.307548,177.936346,0.915597,0.000000,0.000000,0.000000,0.000000
4.000000,0.315225,178.215274,0.767688,0.000000,0.000000,0.000000,0.000000
2.000000,0.504548,177.648300,0.867733,0.000000,0.000000,0.000000,0.000000
3.000000,0.306897,177.459963,0.969651,0.000000,0.000000,0.000000,0.000000
3.000000,0.351773,179.381287,0.928638,0.000000,0.000000,0.000000,0.000000
2.000000,0.308269,178.308521,1.007644,0.000000,0.000000,0.000000,0.000000
3.000000,0.303386,178.373108,0.956270,0.000000,0.000000,0.000000,0.000000
4.000000,0.340450,175.464560,1.122976,0.000000,0.000000,0.000000,0.000000
2.000000,0.336833,175.869784,0.906877,0.000000,0.000000,0.000000,0.000000
4.000000,0.299977,177.791625,0.312859,0.000000,0.000000,0.000000,0.000000
3.000000,0.540555,178.839194,0.929664,0.000000,0.000000,0.000000,0.000000
3.000000,0.476249,175.917617,1.018799,0.000000,0.000000,0.000000,0.000000
3.000000,0.316933,177.694115,0.851151,0.000000,0.000000,0.000000,0.000000
3.000000,0.648312,176.519632,0.938092,0.000000,0.000000,0.000000,0.000000
4.000000,0.314130,178.168361,0.861366,0.000000,0.000000,0.000000,0.000000
3.000000,0.493019,176.885184,0.868573,0.000000,0.000000,0.000000,0.000000
5085.000000,0.315642,176.518250,0.917229,0.000000,0.000000,0.000000,0.000000
3.000000,0.314661,177.426652,0.951088,0.000000,0.000000,0.000000,0.000000
3.000000,0.654906,394.992221,1.233717,0.000000,0.000000,0.000000,0.000000
3.000000,0.317214,178.265729,0.985808,0.000000,0.000000,0.000000,0.000000
3.000000,0.498218,176.335368,1.190856,0.000000,0.000000,0.000000,0.000000
4.000000,0.303073,177.581726,0.899213,0.000000,0.000000,0.000000,0.000000
3051.000000,0.490000,175.923515,1.037619,0.000000,0.000000,0.000000,0.000000
5080.000000,0.385875,176.125864,0.867155,0.000000,0.000000,0.000000,0.000000
3.000000,0.703228,177.502696,1.069639,0.000000,0.000000,0.000000,0.000000
2.000000,0.322278,178.092774,0.960214,0.000000,0.000000,0.000000,0.000000
3.000000,0.316543,175.338495,0.888563,0.000000,0.000000,0.000000,0.000000
3.000000,0.300602,176.279518,1.061113,0.000000,0.000000,0.000000,0.000000
3.000000,0.506228,176.426618,0.759933,0.000000,0.000000,0.000000,0.000000
3.000000,0.306972,178.302127,0.980254,0.000000,0.000000,0.000000,0.000000
3.000000,0.478544,175.611498,0.955913,0.000000,0.000000,0.000000,0.000000
4.000000,0.331651,178.966070,0.952870,0.000000,0.000000,0.000000,0.000000
3.000000,0.321737,178.237263,0.925537,0.000000,0.000000,0.000000,0.000000
3.000000,0.756992,175.201742,0.895564,0.000000,0.000000,0.000000,0.000000
3.000000,0.568662,178.663522,0.779050,0.000000,0.000000,0.000000,0.000000
4.000000,0.461468,178.026969,0.304026,0.000000,0.000000,0.000000,0.000000
4.000000,0.332746,176.526321,0.978833,0.000000,0.000000,0.000000,0.000000
3.000000,0.303596,179.046160,0.907239,0.000000,0.000000,0.000000,0.000000
3.000000,0.349623,178.795077,0.841130,0.000000,0.000000,0.000000,0.000000
3.000000,0.303606,179.137334,0.903563,0.000000,0.000000,0.000000,0.000000
3.000000,0.634217,351.167159,1.007725,0.000000,0.000000,0.000000,0.000000
3.000000,0.851746,173.957146,0.903399,0.000000,0.000000,0.000000,0.000000
3.000000,0.298219,175.194006,0.917122,0.000000,0.000000,0.000000,0.000000
3.000000,0.403838,177.655637,0.807815,0.000000,0.000000,0.000000,0.000000
3.000000,0.485830,179.244435,1.001735,0.000000,0.000000,0.000000,0.000000
3.000000,0.572736,173.277295,0.322357,0.000000,0.000000,0.000000,0.000000
3.000000,0.296026,174.152180,0.336685,0.000000,0.000000,0.000000,0.000000
5084.000000,0.506995,178.597296,1.044781,0.000000,0.000000,0.000000,0.000000
2.000000,0.311649,177.817822,1.002865,0.000000,0.000000,0.000000,0.000000
3.000000,0.641620,173.979369,0.891223,0.000000,0.000000,0.000000,0.000000
3.000000,0.303654,174.278837,0.449288,0.000000,0.000000,0.000000,0.000000
4.000000,0.490804,176.146364,0.526168,0.000000,0.000000,0.000000,0.000000
2.000000,0.741485,173.915241,0.716873,0.000000,0.000000,0.000000,0.000000
5.000000,0.720815,176.002388,1.031160,0.000000,0.000000,0.000000,0.000000
3.000000,0.313076,176.530531,1.080303,0.000000,0.000000,0.000000,0.000000
3.000000,0.764069,178.315466,1.015251,0.000000,0.000000,0.000000,0.000000
3.000000,0.357136,175.339880,0.858037,0.000000,0.000000,0.000000,0.000000
3.000000,0.300215,179.040596,1.026888,0.000000,0.000000,0.000000,0.000000
3052.000000,0.318021,175.306800,0.818419,0.000000,0.000000,0.000000,0.000000
3.000000,0.568605,179.210537,0.999477,0.000000,0.000000,0.000000,0.000000
3.000000,0.301907,176.321282,0.843144,0.000000,0.000000,0.000000,0.000000
8138.000000,0.322873,178.529093,0.973085,0.000000,0.000000,0.000000,0.000000
3048.000000,0.305160,178.440735,0.952652,0.000000,0.000000,0.000000,0.000000
3.000000,0.522235,179.471647,0.559989,0.000000,0.000000,0.000000,0.000000
3.000000,0.319729,175.075967,0.713457,0.000000,0.000000,0.000000,0.000000
3.000000,0.304908,178.548604,0.960798,0.000000,0.000000,0.000000,0.000000
3.000000,0.293369,178.132435,0.777567,0.000000,0.000000,0.000000,0.000000
5088.000000,0.558203,178.252115,0.877596,0.000000,0.000000,0.000000,0.000000
3.000000,0.310703,352.112325,0.962811,0.000000,0.000000,0.000000,0.000000
3.000000,0.703698,395.831608,0.906630,0.000000,0.000000,0.000000,0.000000
3.000000,0.333060,176.757827,0.947791,0.000000,0.000000,0.000000,0.000000
