DNS lookup Time,Period1, Period2,Period3, SSL Handshake Start,Send Client Hello,Receive Certificate,SSL Handshake Finish
3.000000,0.540107,77.236698,0.751405,0.000000,0.000000,0.000000,0.000000
4.000000,0.457466,76.510175,0.999208,0.000000,0.000000,0.000000,0.000000
3.000000,0.635540,75.617827,0.352729,0.000000,0.000000,0.000000,0.000000
3.000000,0.629166,73.981953,1.038769,0.000000,0.000000,0.000000,0.000000
3.000000,0.751553,73.754588,0.659797,0.000000,0.000000,0.000000,0.000000
4.000000,0.300224,74.194326,0.860669,0.000000,0.000000,0.000000,0.000000
2.000000,0.721430,77.012659,0.906157,0.000000,0.000000,0.000000,0.000000
3.000000,0.354910,76.235569,0.784987,0.000000,0.000000,0.000000,0.000000
3.000000,0.303915,76.301851,1.001608,0.000000,0.000000,0.000000,0.000000
3.000000,0.308612,76.462753,0.916332,0.000000,0.000000,0.000000,0.000000
4.000000,0.311346,73.043832,0.972793,0.000000,0.000000,0.000000,0.000000
4.000000,0.881721,414.128412,0.944457,0.000000,0.000000,0.000000,0.000000
4.000000,0.296791,76.577633,0.891251,0.000000,0.000000,0.000000,0.000000
3.000000,0.320870,76.208221,0.869018,0.000000,0.000000,0.000000,0.000000
2.000000,0.332770,76.477088,0.960437,0.000000,0.000000,0.000000,0.000000
3.000000,0.324705,171.892079,0.871858,0.000000,0.000000,0.000000,0.000000
4.000000,0.624776,77.202769,0.794791,0.000000,0.000000,0.000000,0.000000
3.000000,0.504308,75.961720,0.277349,0.000000,0.000000,0.000000,0.000000
4.000000,0.325713,74.480402,0.843465,0.000000,0.000000,0.000000,0.000000
3.000000,0.611730,423.172676,0.857358,0.000000,0.000000,0.000000,0.000000
3.000000,0.325401,76.774369,0.858365,0.000000,0.000000,0.000000,0.000000
3.000000,0.338989,76.890695,1.043272,0.000000,0.000000,0.000000,0.000000
3.000000,0.322974,77.183766,1.243641,0.000000,0.000000,0.000000,0.000000
3.000000,0.338464,76.790319,0.962003,0.000000,0.000000,0.000000,0.000000
3.000000,0.310291,75.849762,1.113804,0.000000,0.000000,0.000000,0.000000
4.000000,0.299223,76.640551,0.923947,0.000000,0.000000,0.000000,0.000000
3.000000,0.494766,77.051932,0.882793,0.000000,0.000000,0.000000,0.000000
3.000000,0.292805,75.696961,0.324662,0.000000,0.000000,0.000000,0.000000
4.000000,0.701550,74.618104,0.669616,0.000000,0.000000,0.000000,0.000000
4.000000,0.308336,76.049342,0.991738,0.000000,0.000000,0.000000,0.000000
4.000000,0.519303,75.558316,0.319295,0.000000,0.000000,0.000000,0.000000
4.000000,0.601260,76.388226,0.965392,0.000000,0.000000,0.000000,0.000000
3.000000,0.295664,74.266092,0.878315,0.000000,0.000000,0.000000,0.000000
3.000000,0.533697,73.034131,1.078000,0.000000,0.000000,0.000000,0.000000
3.000000,0.373129,73.351024,1.054816,0.000000,0.000000,0.000000,0.000000
4.000000,0.359125,163.485705,0.278122,0.000000,0.000000,0.000000,0.000000
4.000000,0.303175,76.824973,0.744000,0.000000,0.000000,0.000000,0.000000
3.000000,0.544394,76.145711,0.409537,0.000000,0.000000,0.000000,0.000000
3.000000,0.317854,75.999648,1.012891,0.000000,0.000000,0.000000,0.000000
3.000000,0.875406,76.756094,0.947087,0.000000,0.000000,0.000000,0.000000
3.000000,0.327620,73.766723,0.929782,0.000000,0.000000,0.000000,0.000000
2.000000,0.617470,76.723861,1.044863,0.000000,0.000000,0.000000,0.000000
4.000000,0.684644,77.047521,0.943656,0.000000,0.000000,0.000000,0.000000
2.000000,0.332611,75.620664,0.968550,0.000000,0.000000,0.000000,0.000000
4.000000,0.321207,76.561527,0.628202,0.000000,0.000000,0.000000,0.000000
4.000000,0.332791,76.681952,0.919589,0.000000,0.000000,0.000000,0.000000
3.000000,0.440518,76.847329,0.911340,0.000000,0.000000,0.000000,0.000000
2.000000,0.351106,76.698800,0.961240,0.000000,0.000000,0.000000,0.000000
3.000000,0.347546,76.579907,1.068684,0.000000,0.000000,0.000000,0.000000
3.000000,0.642280,76.971032,1.043445,0.000000,0.000000,0.000000,0.000000
3.000000,0.305679,76.500979,1.105546,0.000000,0.000000,0.000000,0.000000
3.000000,0.823349,76.901508,0.999163,0.000000,0.000000,0.000000,0.000000
3.000000,0.313944,74.237420,0.839160,0.000000,0.000000,0.000000,0.000000
3.000000,0.316673,76.691155,1.029068,0.000000,0.000000,0.000000,0.000000
3.000000,0.300965,73.690497,0.850730,0.000000,0.000000,0.000000,0.000000
3.000000,0.348204,76.880621,0.975293,0.000000,0.000000,0.000000,0.000000
3.000000,0.527759,76.252686,1.017921,0.000000,0.000000,0.000000,0.000000
2.000000,0.649854,77.173219,0.953337,0.000000,0.000000,0.000000,0.000000
3.000000,0.619081,74.205810,0.981116,0.000000,0.000000,0.000000,0.000000
3.000000,0.300533,75.847811,1.007311,0.000000,0.000000,0.000000,0.000000
2.000000,0.316936,74.139502,0.994452,0.000000,0.000000,0.000000,0.000000
3.000000,0.327243,430.906299,0.960986,0.000000,0.000000,0.000000,0.000000
3.000000,0.299450,74.200334,0.944731,0.000000,0.000000,0.000000,0.000000
3.000000,0.364462,71.541176,1.006234,0.000000,0.000000,0.000000,0.000000
