DNS lookup Time,Period1, Period2,Period3, SSL Handshake Start,Send Client Hello,Receive Certificate,SSL Handshake Finish
4.000000,0.430941,107.121119,0.988140,0.000000,0.000000,0.000000,0.000000
6.000000,0.315808,105.287583,1.028000,0.000000,0.000000,0.000000,0.000000
5.000000,0.696149,111.620165,0.762796,0.000000,0.000000,0.000000,0.000000
6.000000,0.291239,115.285087,0.957782,0.000000,0.000000,0.000000,0.000000
5.000000,0.327736,104.582433,0.929765,0.000000,0.000000,0.000000,0.000000
5.000000,0.802871,106.763899,1.063054,0.000000,0.000000,0.000000,0.000000
5.000000,0.650558,104.152561,0.336182,0.000000,0.000000,0.000000,0.000000
6.000000,0.854872,105.156053,0.955725,0.000000,0.000000,0.000000,0.000000
6.000000,0.311751,106.835232,0.285803,0.000000,0.000000,0.000000,0.000000
5.000000,0.463423,110.162830,0.987906,0.000000,0.000000,0.000000,0.000000
5.000000,0.319414,107.117685,0.862285,0.000000,0.000000,0.000000,0.000000
5.000000,0.291514,103.718711,0.970722,0.000000,0.000000,0.000000,0.000000
5.000000,0.539561,105.199623,0.329809,0.000000,0.000000,0.000000,0.000000
6.000000,0.296015,105.381945,1.045951,0.000000,0.000000,0.000000,0.000000
4.000000,0.300641,109.447885,0.756115,0.000000,0.000000,0.000000,0.000000
5.000000,0.311259,137.269079,0.744601,0.000000,0.000000,0.000000,0.000000
5.000000,0.742835,105.020328,0.538916,0.000000,0.000000,0.000000,0.000000
5.000000,0.326938,125.799494,0.867279,0.000000,0.000000,0.000000,0.000000
5.000000,0.306824,106.897298,0.953919,0.000000,0.000000,0.000000,0.000000
5.000000,0.340783,111.112489,0.853884,0.000000,0.000000,0.000000,0.000000
