DNS lookup Time,Period1, Period2,Period3, SSL Handshake Start,Send Client Hello,Receive Certificate,SSL Handshake Finish
5.000000,0.573847,223.462456,1.003930,0.000000,0.000000,0.000000,0.000000
5.000000,0.290847,213.620170,0.962641,0.000000,0.000000,0.000000,0.000000
5.000000,0.597198,225.493525,0.476766,0.000000,0.000000,0.000000,0.000000
8.000000,0.309095,223.152901,0.998569,0.000000,0.000000,0.000000,0.000000
8.000000,0.305412,214.158667,0.828315,0.000000,0.000000,0.000000,0.000000
5.000000,0.416329,222.378617,0.910194,0.000000,0.000000,0.000000,0.000000
5.000000,0.409423,223.116438,1.056531,0.000000,0.000000,0.000000,0.000000
5.000000,0.539830,221.809036,0.852815,0.000000,0.000000,0.000000,0.000000
6.000000,0.353100,222.213919,0.990629,0.000000,0.000000,0.000000,0.000000
4.000000,0.563576,224.835004,0.336851,0.000000,0.000000,0.000000,0.000000
6.000000,0.521758,223.680225,1.147450,0.000000,0.000000,0.000000,0.000000
4.000000,0.785769,222.004364,0.868555,0.000000,0.000000,0.000000,0.000000
5.000000,0.753519,214.631221,0.853599,0.000000,0.000000,0.000000,0.000000
5.000000,0.678770,224.179998,0.947284,0.000000,0.000000,0.000000,0.000000
5.000000,0.591205,222.574385,0.850850,0.000000,0.000000,0.000000,0.000000
5.000000,0.503791,214.857713,0.844632,0.000000,0.000000,0.000000,0.000000
4.000000,0.403781,206.654453,0.954977,0.000000,0.000000,0.000000,0.000000
4.000000,0.582297,214.988307,0.796441,0.000000,0.000000,0.000000,0.000000
6.000000,0.301239,222.900015,1.093440,0.000000,0.000000,0.000000,0.000000
6.000000,0.648980,223.223706,1.157802,0.000000,0.000000,0.000000,0.000000
5.000000,0.698667,221.899661,1.009975,0.000000,0.000000,0.000000,0.000000
6.000000,0.668724,222.853213,0.326208,0.000000,0.000000,0.000000,0.000000
6.000000,0.319434,224.718799,0.870980,0.000000,0.000000,0.000000,0.000000
5.000000,0.301386,213.534722,0.332505,0.000000,0.000000,0.000000,0.000000
