DNS lookup Time,Period1, Period2,Period3, SSL Handshake Start,Send Client Hello,Receive Certificate,SSL Handshake Finish
3.000000,0.562680,78.421237,0.892760,0.000000,0.000000,0.000000,0.000000
3.000000,0.671609,73.918966,1.328907,0.000000,0.000000,0.000000,0.000000
3.000000,0.305077,76.931219,0.989660,0.000000,0.000000,0.000000,0.000000
3.000000,0.658735,77.445459,0.326834,0.000000,0.000000,0.000000,0.000000
4.000000,0.509385,74.373422,0.951276,0.000000,0.000000,0.000000,0.000000
3.000000,0.409529,73.821556,0.971695,0.000000,0.000000,0.000000,0.000000
3.000000,0.552429,73.899722,0.986516,0.000000,0.000000,0.000000,0.000000
2.000000,0.334009,76.251661,0.816004,0.000000,0.000000,0.000000,0.000000
3.000000,0.732267,77.153824,0.989853,0.000000,0.000000,0.000000,0.000000
3.000000,0.646828,77.436546,0.926096,0.000000,0.000000,0.000000,0.000000
3.000000,0.319109,76.184803,0.978811,0.000000,0.000000,0.000000,0.000000
3.000000,0.309733,75.094884,1.038038,0.000000,0.000000,0.000000,0.000000
3.000000,0.590985,75.282025,0.292821,0.000000,0.000000,0.000000,0.000000
3.000000,0.494108,77.185678,0.932469,0.000000,0.000000,0.000000,0.000000
3.000000,0.351378,73.206676,1.162263,0.000000,0.000000,0.000000,0.000000
