DNS lookup Time,Period1, Period2,Period3, SSL Handshake Start,Send Client Hello,Receive Certificate,SSL Handshake Finish
0.000000,0.336907,150.338958,0.991829,0.000000,0.000000,0.000000,0.000000
1.000000,0.371262,151.199797,1.038286,0.000000,0.000000,0.000000,0.000000
1.000000,0.332100,150.047296,1.005490,0.000000,0.000000,0.000000,0.000000
1.000000,0.411253,143.575243,1.028240,0.000000,0.000000,0.000000,0.000000
1.000000,0.320213,149.632403,0.921462,0.000000,0.000000,0.000000,0.000000
1.000000,0.311710,150.803823,1.006180,0.000000,0.000000,0.000000,0.000000
1.000000,0.318016,150.104487,0.916457,0.000000,0.000000,0.000000,0.000000
1.000000,0.309653,151.553038,0.933959,0.000000,0.000000,0.000000,0.000000
1.000000,0.319994,152.978182,1.034069,0.000000,0.000000,0.000000,0.000000
1.000000,0.425994,151.629150,0.853019,0.000000,0.000000,0.000000,0.000000
1.000000,0.308517,150.270621,0.922318,0.000000,0.000000,0.000000,0.000000
1.000000,0.446640,151.750639,0.957900,0.000000,0.000000,0.000000,0.000000
1.000000,0.426107,152.910372,1.042408,0.000000,0.000000,0.000000,0.000000
1.000000,0.373440,150.842675,0.916194,0.000000,0.000000,0.000000,0.000000
1.000000,0.347055,150.132818,0.997909,0.000000,0.000000,0.000000,0.000000
